name,final_adoption
0_12_2_1_1,8.469317978274424e-15
0_12_2_1_2,4.0350572806414484e-14
0_12_2_1_3,2.84552364447271e-10
0_12_2_2_0,1.074583227668866e-12
0_12_2_2_1,2.93228835075177e-11
0_12_2_2_2,2.4653601378575516e-12
0_12_2_2_3,2.769178984928741e-11
0_12_2_3_0,8.247455873891749e-12
0_12_2_3_1,6.658405117730898e-10
0_12_2_3_2,4.207684965828805e-12
0_12_2_3_3,1.898068119933924e-11
0_12_3_0_0,1.9818520959032353e-25
0_12_3_0_1,0.00014210080363175908
0_12_3_0_2,0.000603572078086751
0_12_3_0_3,9.89174953971494e-17
0_12_3_1_0,2.0952288779888615e-11
0_12_3_1_1,7.339687560935424e-11
0_12_3_1_2,2.4290385473481275e-11
0_12_3_1_3,2.3357494290068953e-09
0_12_3_2_0,9.75644529891571e-05
0_12_3_2_1,1.016609961794422e-09
0_12_3_2_2,8.946926460192883e-10
0_12_3_2_3,5.519605352834454e-10
0_12_3_3_0,3.0370117943972487e-09
0_12_3_3_1,5.8533685336589415e-08
0_12_3_3_2,1.2021350169844838e-09
0_12_3_3_3,1.038130205592746e-09
0_12_4_0_0,1.667133608882415e-11
0_12_4_0_1,1.4971549125399997e-08
0_12_4_0_2,0.00156757553015483
0_12_4_0_3,1.3465147937907477e-14
0_12_4_1_0,2.0021138710179877e-07
0_12_4_1_1,5.173091699554479e-10
0_12_4_1_2,3.9536075862616525e-09
0_12_4_1_3,4.339643162307964e-07
0_12_4_2_0,7.772015197181426e-08
0_12_4_2_1,7.609845482102836e-09
0_12_4_2_2,8.258669525427143e-08
0_12_4_2_3,3.202535979630518e-08
0_12_4_3_0,2.8147437909481263e-07
0_12_4_3_1,6.134912087075433e-07
0_12_4_3_2,4.555405519526304e-08
0_12_4_3_3,4.217799880899107e-08
0_12_5_0_0,3.988465557819459e-07
0_12_5_0_1,3.2966532681195763e-07
0_12_5_0_2,0.0007599017712852558
0_12_5_0_3,1.7538671114595399e-07
0_12_5_1_0,7.172368436263544e-06
0_12_5_1_1,4.524107703239518e-06
0_12_5_1_2,3.398195861429449e-07
0_12_5_1_3,8.02918371259105e-06
0_12_5_2_0,4.7133581668536385e-07
0_12_5_2_1,3.4595716651418347e-06
0_12_5_2_2,7.061912355985258e-06
0_12_5_2_3,1.9439971087878224e-06
0_12_5_3_0,2.344154212282525e-05
0_12_5_3_1,0.00010986249944776396
0_12_5_3_2,4.67280485257304e-06
0_12_5_3_3,2.196448190715796e-06
0_12_6_0_0,0.0011243498429687187
0_12_6_0_1,0.003043857614522396
0_12_6_0_2,0.017684022311555102
0_12_6_0_3,0.0014700115009171086
0_12_6_1_0,0.002134247393904151
0_12_6_1_1,0.0015526944720439444
0_12_6_1_2,0.0009009622864656589
0_12_6_1_3,0.0012891864293426763
0_12_6_2_0,0.0016215738083546532
0_12_6_2_1,0.001921275821629712
0_12_6_2_2,0.0013827140181387383
0_12_6_2_3,0.0007680856945217691
0_12_6_3_0,0.0028952344949916805
0_12_6_3_1,0.003853480731781399
0_12_6_3_2,0.0008582108999857148
0_12_6_3_3,0.000603102011090886
0_12_7_0_0,0.6112560703714671
0_12_7_0_1,0.3592665671058817
0_12_7_0_2,0.2822724839595885
0_12_7_0_3,0.28064697581489056
0_12_7_1_0,0.1486051199091349
0_12_7_1_1,0.09703756630509844
0_12_7_1_2,0.04981972881724453
0_12_7_1_3,0.08345890699870247
0_12_7_2_0,0.09933617888260235
0_12_7_2_1,0.09418317692522085
0_12_7_2_2,0.10534455925440196
0_12_7_2_3,0.06956276342048709
0_12_7_3_0,0.11630629380913243
0_12_7_3_1,0.12600244392341675
0_12_7_3_2,0.08696631703793821
