model_name,steady_S,steady_Q,steady_L,steady_B
0_10_9_3_3,0.007451835577804815,0.10208371869249103,0.7721540967503318,0.11831034897937243
0_11_0_0_0,0.0,0.0,4.03152027213316e-07,0.9999995968479727
0_11_0_0_1,0.0009098112490629642,5.834973015276019e-05,0.0,0.9990318390207843
0_11_0_0_2,5.305308647092489e-05,8.331060979687315e-05,0.0,0.9998636363037322
0_11_0_0_3,0.00040116006299813624,2.3763900658752754e-05,0.0,0.9995750760363431
0_11_0_1_0,0.00026036606406781404,0.0,0.0,0.9997396339359322
0_11_0_1_1,0.0,0.0,0.0,1.0
0_11_0_1_2,0.0,0.0,0.0,1.0
0_11_0_1_3,0.0,0.0,0.0,1.0
0_11_0_2_0,0.0,0.0,0.0,1.0
0_11_0_2_1,0.0,0.0,0.0,1.0
0_11_0_2_2,0.0,0.0,0.0,1.0
0_11_0_2_3,0.0,0.0,0.0,1.0
0_11_0_3_0,0.0,0.0,0.0,1.0
0_11_0_3_1,0.0,0.0,0.0,1.0
0_11_0_3_2,0.0,0.0,0.0,1.0
0_11_0_3_3,0.0,0.0,0.0,1.0
0_11_10_0_0,0.0,0.0,0.0,1.0
0_11_10_0_1,0.0,0.1978954610067826,0.6023117504907506,0.19979278850246676
0_11_10_0_2,1.0,0.0,0.0,0.0
0_11_10_0_3,0.0007787289570206751,0.04114961912429435,0.9133488691150118,0.04472278280367314
0_11_10_1_0,0.0,0.09425135302292931,0.804923077578539,0.10082556939853171
0_11_10_1_1,0.002086514870901066,0.11130431020375284,0.7619132756268144,0.12469589929853175
0_11_10_1_2,0.005802275530611523,0.11775584322940334,0.7827371243715074,0.09370475686847766
0_11_10_1_3,0.0018704487257181675,0.12558216888177962,0.7108219409974758,0.16172544139502643
0_11_10_2_0,0.00048574779949782913,0.11927387283165033,0.7499412771654494,0.1302991022034024
0_11_10_2_1,0.002315588816195139,0.13248220107396108,0.7589483699035088,0.10625384020633502
0_11_10_2_2,0.004321033764836548,0.15801701774741952,0.7618607325561988,0.07580121593154514
0_11_10_2_3,0.005504726916110106,0.14419560529925568,0.741558701348604,0.10874096643603025
0_11_10_3_0,0.002102145953163474,0.05564435818242352,0.793332874884889,0.14892062097952397
0_11_10_3_1,0.004666087566505327,0.1409417486048002,0.7515213269722165,0.10287083685647787
0_11_10_3_2,0.004315080794974602,0.1266195462658847,0.7544068960112605,0.11465847692788014
0_11_10_3_3,0.005914758111494752,0.12748318644670006,0.7862799238265237,0.08032213161528161
0_11_1_0_0,0.0,0.0,4.03152027213316e-07,0.9999995968479727
0_11_1_0_1,0.0,0.0,0.0,1.0
0_11_1_0_2,0.0,0.0,0.0,1.0
0_11_1_0_3,0.0004290083896804649,0.0005057763357746171,0.0,0.999065215274545
0_11_1_1_0,0.0,0.0,0.0,1.0
0_11_1_1_1,0.0,0.0,0.0,1.0
0_11_1_1_2,0.0,0.0,0.0,1.0
0_11_1_1_3,0.0,0.0,0.0,1.0
0_11_1_2_0,0.0,0.0,0.0,1.0
0_11_1_2_1,0.0,0.0,0.0,1.0
0_11_1_2_2,0.0,0.0,0.0,1.0
0_11_1_2_3,0.0,0.0,0.0,1.0
0_11_1_3_0,0.00011977217457197946,0.0,0.0,0.9998802278254281
0_11_1_3_1,0.0,0.0,0.0,1.0
0_11_1_3_2,0.0,0.0,0.0,1.0
0_11_1_3_3,0.0,0.0,0.0,1.0
0_11_2_0_0,0.0,0.0,4.03152027213316e-07,0.9999995968479727
0_11_2_0_1,0.0,0.0,0.0,1.0
0_11_2_0_2,0.0003215656077622958,0.0005490779033805936,0.0,0.9991293564888571
0_11_2_0_3,6.5339595478225075e-06,6.228065849949242e-06,0.0,0.9999872379746022
0_11_2_1_0,0.0008090409554639695,0.0,0.0,0.999190959044536
0_11_2_1_1,0.0,0.0,0.0,1.0
0_11_2_1_2,0.0,0.0,0.0,1.0
0_11_2_1_3,0.0,0.0,0.0,1.0
0_11_2_2_0,0.0,0.0,0.0,1.0
0_11_2_2_1,0.0,0.0,0.0,1.0
0_11_2_2_2,0.0,0.0,0.0,1.0
0_11_2_2_3,0.0,0.0,0.0,1.0
0_11_2_3_0,0.0,0.0,0.0,1.0
0_11_2_3_1,0.0,0.0,0.0,1.0
0_11_2_3_2,0.0,0.0,0.0,1.0
0_11_2_3_3,0.0,0.0,0.0,1.0
0_11_3_0_0,0.0,0.0,4.03152027213316e-07,0.9999995968479727
0_11_3_0_1,0.0,0.0,0.0,1.0
0_11_3_0_2,0.0028474780496955177,0.0012010152993341937,1.8369671269551733e-07,0.9959513229542576
0_11_3_0_3,0.000345381129141008,0.0002747033032989161,0.0,0.9993799155675601
0_11_3_1_0,0.0,0.0,0.0,1.0
0_11_3_1_1,0.0,0.0,0.0,1.0
0_11_3_1_2,0.0,0.0,0.0,1.0
0_11_3_1_3,0.0,0.0,0.0,1.0
0_11_3_2_0,0.0,0.0,0.0,1.0
0_11_3_2_1,0.0,0.0,0.0,1.0
0_11_3_2_2,0.0,0.0,0.0,1.0
0_11_3_2_3,0.0,0.0,0.0,1.0
0_11_3_3_0,0.0,0.0,0.0,1.0
0_11_3_3_1,0.0,0.0,0.0,1.0
0_11_3_3_2,0.0,0.0,0.0,1.0
0_11_3_3_3,0.0,0.0,0.0,1.0
0_11_4_0_0,0.0,0.0,3.856014940488134e-07,0.9999996143985059
0_11_4_0_1,0.0,0.0,0.0,1.0
0_11_4_0_2,0.0,0.0,0.0,1.0
0_11_4_0_3,0.0,0.0,0.0,1.0
0_11_4_1_0,2.601510825521776e-05,0.0,0.0,0.9999739848917448
0_11_4_1_1,0.0,0.0,0.0,1.0
0_11_4_1_2,0.0,0.0,0.0,1.0
0_11_4_1_3,0.0,0.0,0.0,1.0
0_11_4_2_0,0.0,0.0,0.0,1.0
0_11_4_2_1,0.0,0.0,0.0,1.0
0_11_4_2_2,0.0,0.0,0.0,1.0
0_11_4_2_3,0.0,0.0,0.0,1.0
0_11_4_3_0,0.0,0.0,0.0,1.0
0_11_4_3_1,0.0,0.0,0.0,1.0
0_11_4_3_2,0.0,0.0,0.0,1.0
0_11_4_3_3,0.0,0.0,0.0,1.0
0_11_5_0_0,0.0,0.0,0.0,1.0
0_11_5_0_1,0.00991949197862329,0.009159807178402994,5.205932660639001e-05,0.9808686415163673
0_11_5_0_2,0.01288068029525019,0.004045254032872649,0.0,0.9830740656718772
0_11_5_0_3,0.002175946501124564,0.0024479870672660217,0.0,0.9953760664316095
0_11_5_1_0,0.0007745215462116027,0.0,0.0,0.9992254784537885
0_11_5_1_1,0.0,0.0,0.0,1.0
0_11_5_1_2,0.0,0.0,0.0,1.0
0_11_5_1_3,0.0,0.0,0.0,1.0
0_11_5_2_0,0.0014447950441714697,0.00089767968696217,0.0,0.9976575252688663
0_11_5_2_1,0.0,0.0,0.0,1.0
